Year,Month,Day,minWindSpeed,maxWindSpeed,minWindDirection,maxWindDirection,minAirTemperature,maxAirTemperature,minRelativeHumidity,maxRelativeHumidity,minParticlesConcentration,maxParticlesConcentration
2009,1,19,1.535,6.808999,266.9362,345.3801,17.86771,30.08414,14.3104,34.56738,0,631.1
2009,12,18,0.168667,4.7460003,0.0590154,358.93005,20.438782,36.23941,9.6592455,24.570578,0,107.1
2009,12,28,0.068667,6.2546673,6.2303681,359.97839,18.339016,34.668747,7.913466,19.293615,0,115.5
2009,12,8,0.173667,5.1936674,0.0508556,358.83414,17.470377,33.410965,8.7174959,23.649433,0,128.5
2009,1,8,0.201,3.099667,2.801087,359.3566,17.16706,35.79976,7.978688,32.91994,0,243.8
2009,1,9,0.366667,4.529333,0.3120795,359.9311,18.02481,34.59981,6.685037,20.60135,0,260.6
2009,2,16,0.139,6.082667,2.409554,355.7254,23.48875,36.86874,6.691599,21.46201,0,264.9
2009,2,17,0.361667,7.154333,1.922882,357.8006,25.44027,36.10296,7.107402,20.05338,0,931.7
2009,2,19,0.099333,8.335667,0.6192211,359.5079,23.3695,37.1193,9.902174,22.40482,0,1282.2
2009,2,2,0.139,6.076333,2.032184,359.8268,18.1806,38.05418,6.654206,30.78461,0,505.6
2009,3,13,0.184667,7.307001,1.823014,358.2222,24.61873,38.38329,5.630803,12.53791,0,363.3
2009,3,2,1.043,8.219666,57.70113,131.5697,21.19728,36.15364,5.931984,13.6593,0,1752.2
2009,3,26,0.639,7.709667,61.73363,136.3661,28.11512,39.65141,7.553323,15.38239,0,821.6
2009,4,16,0.101,5.728333,4.975642,359.5879,28.34075,42.01791,9.452846,19.24869,0,443.2
2009,4,17,0.769667,6.591,0.4176174,359.6661,27.85617,42.27183,8.340206,48.77837,0,374
2009,4,2,0.368,6.347667,85.16412,349.76,30.1866,40.45417,11.59708,41.77969,0,556.5
2009,4,27,0.456667,6.245333,18.9051,359.1093,29.70797,41.44134,18.42176,50.14024,0,770.6
2009,4,28,0.884333,4.833334,55.86924,329.6941,29.37957,41.73708,17.77814,54.59354,0,167.9
2009,4,9,0.101,9.030334,0.1086924,359.7521,24.53413,39.78856,3.766791,9.069551,0,1549.3
2009,5,18,0.963333,5.326333,1.580361,357.9844,28.02859,42.17359,12.66383,61.17841,0,211.7
2009,5,30,0.391,11.18967,9.972528,358.6328,24.69367,39.63512,22.77443,82.11075,0,24627.8
2009,5,6,2.113,6.736334,160.5312,245.9942,28.5003,39.84936,25.20311,58.83973,0,713.3
2009,5,7,0.991667,10.03867,17.16482,302.205,25.98559,39.70341,25.40824,73.25371,0,2822.8
2009,6,24,1.745,8.238001,182.3416,269.1684,28.25304,38.93,27.80842,66.40806,0,303.2
2009,7,11,1.094,6.835,111.9339,243.0416,25.614,31.14351,38.52826,85.70518,0,53.1
2009,7,18,0.333,5.484667,58.44518,251.5768,23.66167,32.82158,45.66003,84.59052,0,202.8
2009,7,21,1.004,8.727666,156.4693,275.3005,23.03036,34.07036,37.79346,82.00546,0,3129
2009,7,28,0.917333,6.251,116.6832,242.4545,23.55336,30.65023,52.08133,91.44568,0,32.3
2009,7,29,1.276667,5.674,179.9624,294.8194,24.31318,32.10632,50.66059,83.63965,0,63.8
2009,7,7,0.925667,18.61633,81.66093,263.1706,20.60723,35.76556,37.26066,96.65833,0,63048.3
2009,8,10,0.646333,9.106999,0.1985898,353.9566,22.14432,29.36283,63.39366,88.12124,0,1730.2
2009,8,2,0.468333,4.018333,34.21997,354.4207,25.80825,36.15267,35.50023,83.65883,0,373.9
2009,8,26,0.302667,4.767334,13.07317,313.2772,21.97694,28.95004,67.04044,90.86159,0,103.8
2009,8,27,0.125667,4.330001,7.768652,352.4967,23.88786,33.76276,43.75797,92.99078,0,97.4
2009,8,28,1.987667,6.886333,146.4662,309.7167,24.47837,34.14168,47.47921,81.81777,0,150
2009,8,30,0.136,7.783666,12.95301,310.1951,24.03514,30.34157,55.91034,91.6944,0,119
2009,8,31,0.147,12.61367,8.976636,353.5109,22.41849,31.76526,52.63099,93.63705,0,383.5
2009,8,6,0.618667,4.669,147.7994,287.144,22.77695,31.4772,52.472,89.93015,0,40.9
2009,8,7,1.104333,4.974333,164.5877,254.7776,23.65699,32.85383,45.65784,91.64494,0,25
2009,9,11,0.108,4.3033328,3.3720069,359.0712,22.249531,30.507475,53.909016,91.674103,0,103.7
2009,9,12,0.170667,4.2796664,1.5736635,357.60965,24.38237,33.431667,46.208519,93.022888,0,81.3
2009,9,2,0.361667,5.22,8.500402,336.7253,21.63104,31.94994,52.60412,95.03328,0,71.4
2009,9,21,0.178333,4.9976659,34.552044,325.53439,23.721907,34.601643,38.288128,91.433395,0,93.7
2009,9,24,0.670333,3.8650002,46.116257,226.87621,25.544361,36.380287,37.826237,88.599983,0,91.8
2009,9,3,0.562667,6.631667,6.734901,357.6571,22.38776,29.1338,65.57646,95.08849,0,29
2009,9,4,0.234,3.800667,1.780895,357.8471,21.98437,31.83974,47.11922,95.2322,0,1965.6
2009,9,6,0.351333,5.631,125.4954,275.2943,24.67923,31.61772,53.59965,88.18853,0,89
2009,9,7,0.112333,2.962,6.771746,355.3122,24.23223,34.69526,38.67346,92.08791,0,119.4
2010,10,15,0.666,4.5053334,204.77292,348.51831,25.251314,36.94236,26.291988,77.017609,0,105.3
2010,10,2,0.278333,4.6329994,5.4494424,358.15637,22.197334,33.763325,43.986095,86.076927,0,79.2
2010,10,25,0.162,3.3529997,116.50951,277.45779,25.021919,30.641067,46.206375,70.151543,0,145.3
2010,10,26,0.167333,11.056666,1.4966478,355.60904,21.205673,34.718655,27.080856,84.202377,0,3570
2010,10,4,0.496,4.3120003,144.12497,228.75938,24.993835,35.408829,36.085037,86.546539,0,668.7
2010,10,5,0.152667,7.7320004,1.7659088,350.4129,21.448246,30.715553,54.867966,94.463844,0,158.1
2010,11,19,0.148,5.236001,0.304043,354.73651,20.551321,37.551029,10.603181,42.337635,0,139.6
2010,11,5,0.196333,3.8246665,8.0434799,353.44666,21.75889,37.825905,10.957983,50.331936,0,238.6
2010,1,18,1.064667,7.902667,57.496643,121.96953,19.09375,29.401604,9.0845079,20.196999,0,3364.1
2010,12,21,0.155667,5.3889999,0.1635671,350.76532,17.752426,33.185589,6.9467382,20.566048,0,214.1
2010,12,6,0.170667,6.3866668,1.8504725,357.82687,18.568718,32.599152,7.966733,25.100904,0,125.1
2010,1,5,0.091,6.8920007,0.6935747,351.47452,16.146759,32.637104,7.9447031,20.612648,0,133.1
2010,2,1,0.628333,7.0869999,0.04918,358.29953,17.515755,33.306667,7.5106368,19.449085,0,278.2
2010,2,12,0.17,3.6236668,0.3325284,359.82797,20.924234,39.009358,6.1089783,20.961803,0,258.1
2010,2,22,0.108333,7.5413332,0.2250882,359.76315,21.235846,41.714386,5.5444689,22.858072,0,3807.2
2010,3,12,0.155,5.7166672,0.1411241,359.99039,28.505562,39.267555,8.3205185,17.660521,0,883.7
2010,3,21,1.09,6.9749994,33.090694,117.50687,24.959644,33.102962,7.4487224,12.099162,0,2766.1
2010,3,8,0.071333,3.7586668,0.8698157,359.2468,24.354128,42.246037,5.3125787,15.634726,0,460
2010,3,9,0.184,5.1383343,2.3403976,358.14914,23.437664,41.350021,5.9927287,16.853338,0,61387.9
2010,4,16,0.251667,7.967001,16.822285,339.42853,30.133286,41.225678,14.885948,40.864243,0,611.6
2010,4,23,0.897,6.7519999,2.3269103,351.9249,27.286928,38.954357,20.318695,61.482998,0,9595.8
2010,4,28,0.615,5.1846671,0.1804247,358.98962,27.13842,39.57769,17.941351,54.155304,0,210.1
2010,4,30,0.895667,8.4823332,198.55231,313.6814,29.989513,40.507023,13.707529,60.6577,0,2434.2
2010,4,5,0.208667,5.3633337,0.324073,358.66367,26.775227,40.480568,4.2503076,10.656601,0,262
2010,5,17,0.513333,6.7906666,16.584898,358.76492,31.079002,43.53307,12.86992,51.687244,0,214.6
2010,5,25,1.302333,6.5176673,192.62483,358.80179,29.862326,40.761749,19.828766,53.82161,0,402.6
2010,5,29,0.391333,13.574665,0.8920634,359.8511,23.266573,34.175873,34.954033,86.67791,0,82915.8
2010,5,4,0.59,7.2399998,16.060024,343.24261,28.576258,39.192207,24.555975,54.975769,0,276.6
2010,5,7,1.159667,11.627,139.42151,303.74942,25.391275,37.131515,27.091185,69.370575,0,8530.1
2010,6,10,0.232333,4.0469999,0.5865873,357.37231,25.573149,33.474155,39.20108,77.689674,0,3771.1
2010,6,18,0.685333,5.0979996,89.447151,304.01599,26.771561,37.465355,25.094997,71.638168,0,187.9
2010,6,25,0.540333,8.9256659,194.76596,344.78281,28.346701,35.317154,40.469906,68.054825,0,1592.5
2010,6,29,1.565333,5.0966673,198.46358,296.64658,28.03413,37.537746,31.587322,70.483673,0,268.9
2010,6,3,0.360333,15.144335,2.1503339,358.61465,25.82839,37.051075,29.450668,68.956596,0,49018.9
2010,6,4,0.693,13.913331,5.3548903,355.10309,21.451298,35.197647,37.407886,96.340362,0,20794.9
2010,7,10,1.242333,11.334,42.326015,353.35611,21.818213,34.162647,40.122433,94.804855,0,1281.8
2010,7,12,0.519667,3.3616667,144.27835,353.07599,23.190008,34.098339,38.375378,93.247315,0,275.6
2010,7,13,0.701,6.0166659,1.8091159,358.52072,26.627279,37.763576,29.878531,78.386025,0,129.1
2010,7,20,2.927001,10.044999,179.74089,255.8864,26.172508,31.060738,38.051102,73.977264,0,4474.4
2010,7,3,0.357333,5.3956666,61.413792,274.01181,23.122244,34.816139,33.703567,88.538872,0,465.9
2010,7,4,1.183,5.8559999,195.29662,299.89041,25.888783,37.810692,27.713133,79.246338,0,287.5
2010,7,9,1.031333,10.008666,48.379871,244.71298,23.851185,34.685795,40.066822,83.57531,0,17527.1
2010,8,10,0.691,8.1986675,94.22541,251.19966,21.066635,26.469166,79.117874,93.570167,0,125.2
